Nombre,Posición,Equipo,Puntos,Media Puntos Relevo,Puntos Relevo,Precio Actual,Precio Inicial,Media,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Balones al Área,Despejes,Regates,Tiros a Puerta,Balones Recuperados,Posesiones Perdidas,Penaltis Fallados,Goles en Contra,Tarjetas Rojas,Paradas,Penaltis Cometidos,Tarjetas Amarillas,Segundas Amarillas,Penaltis Provocados,Penaltis Parados,Goles en Propia Puerta
Vicente Moreno,DT,Osasuna,36,0,0,568.534,571.177,2.77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathé Ciss,MC,Rayo Vallecano,36,1.17,14,1.290.948,1.236.953,3.00,12,339,0,1,2,0,18,4,0,32,41,0,7,0,0,0,2,0,0,0,0
Romero,DF,Espanyol,36,1.25,15,3.377.084,3.234.790,3.00,12,864,1,1,1,11,19,6,2,48,134,0,17,0,0,1,3,0,0,0,0
Albiol,DF,Villarreal CF,36,1.08,13,2.423.996,2.407.183,3.00,12,739,0,0,0,0,51,0,0,25,54,0,10,0,0,1,3,0,0,0,1
Reinildo,DF,Atlético de Madrid,36,1.00,13,3.200.294,3.154.520,2.77,13,599,0,0,0,0,21,2,1,41,78,0,6,0,0,0,3,0,0,0,0
Marcelino,DT,Villarreal CF,36,0,0,750.256,738.651,3.27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry,DL,Villarreal CF,36,1.00,9,6.839.013,6.614.867,4.00,9,654,2,2,1,0,3,1,6,11,71,0,10,0,0,0,1,0,0,0,0
Romain Perraud,DF,Real Betis,35,1.00,13,2.609.480,2.561.563,2.69,13,835,0,0,1,3,24,7,2,55,138,0,9,0,0,0,4,0,0,0,0
Manuel Pellegrini,DT,Real Betis,35,0,0,733.656,723.353,2.69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raba,DL,Leganés,35,1.18,13,769.182,756.094,3.18,11,276,0,2,2,3,2,5,3,21,49,1,2,0,0,0,0,0,0,0,0
Javi López,DF,Real Sociedad,35,1.36,15,2.589.067,2.500.325,3.18,11,640,0,0,1,2,17,3,0,35,85,0,7,0,0,0,0,0,0,0,0
Witsel,DF,Atlético de Madrid,35,0.92,12,5.641.916,5.433.998,2.69,13,528,0,1,1,0,23,1,0,28,41,0,6,0,0,0,0,0,0,0,0
Stoichkov,MC,Alavés,34,0.85,11,2.042.114,1.944.579,2.62,13,568,0,1,2,2,6,4,3,32,91,0,12,0,0,0,1,0,0,0,0
Javi Muñoz,MC,Las Palmas,34,1.38,18,1.216.188,1.170.125,2.62,13,793,0,1,1,4,11,8,3,44,101,0,17,0,0,0,1,0,0,0,0
Turrientes,MC,Real Sociedad,34,1.00,10,1.786.391,1.693.553,3.40,10,460,0,0,0,6,5,5,1,21,42,0,2,0,0,0,2,0,0,0,0
Brahim,MC,Real Madrid,34,1.86,13,7.264.674,7.896.224,4.86,7,201,1,2,1,0,0,7,1,12,40,0,3,0,0,0,0,0,0,0,0
I Sánchez,MC,Valladolid,34,1.08,14,905.008,881.271,2.62,13,428,1,1,2,4,2,9,3,22,69,0,11,0,0,0,2,0,0,0,0
Hugo Alvarez,MC,Celta de Vigo,34,1.60,16,2.124.962,2.033.687,3.40,10,696,1,0,1,3,9,17,4,38,135,0,13,0,0,0,2,0,0,0,0
Bertug,DL,Espanyol,34,0.90,9,910.544,888.439,3.40,10,674,1,0,1,1,11,4,5,14,81,0,6,0,0,0,4,0,1,0,0
Bellerín,DF,Real Betis,33,1.27,14,2.387.821,2.275.405,3.00,11,523,0,1,2,3,13,6,1,17,66,0,5,0,0,0,1,0,0,0,0
Abel Ruiz,DL,Girona,33,0.80,8,4.521.427,4.296.973,3.30,10,663,2,0,0,0,4,4,6,13,50,0,10,0,0,0,2,0,0,0,0
Agoumé,MC,Equipo desconocido,33,1.00,13,1.423.544,1.359.153,2.54,13,689,0,0,0,0,9,10,0,49,102,0,13,1,0,1,1,0,0,0,0
Álex Suárez,DF,Las Palmas,33,0.92,11,1.252.068,1.267.242,2.75,12,896,0,0,0,0,43,0,1,33,77,0,15,0,0,1,3,0,0,0,1
Juan Soriano,PO,Leganés,33,1.08,14,3.738.880,3.552.736,2.54,13,540,0,0,0,0,5,0,0,56,84,0,7,0,19,0,1,0,0,0,1
Raúl,DL,Osasuna,33,0.85,11,773.261,759.853,2.54,13,295,1,0,1,0,2,6,3,3,42,0,6,0,0,0,0,0,0,0,0
Almeida,MC,Valencia CF,33,1.50,15,1.962.847,1.870.651,3.30,10,454,0,0,1,7,2,3,1,25,58,0,9,0,0,0,0,0,0,0,0
Albert Sambi Lokonga,MC,Equipo desconocido,33,1.63,13,1.709.209,1.719.025,4.13,8,476,0,1,1,0,11,2,1,33,40,0,7,0,0,0,1,0,0,0,0
Leo Román,PO,Mallorca,33,1.00,12,1.462.371,1.401.113,2.75,12,360,0,0,0,0,1,1,0,27,54,0,2,0,14,0,0,0,0,0,0
Ernesto Valverde,DT,Athletic Club,33,0,0,786.089,771.675,2.75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeray,DF,Athletic Club,32,1.50,12,3.688.934,3.583.837,4.00,8,540,0,0,0,1,20,2,1,34,64,0,5,0,0,0,2,0,0,0,0
Juanlu,MC,Equipo desconocido,32,1.00,12,1.386.665,1.328.021,2.67,12,466,1,1,0,1,6,0,1,23,41,0,6,0,0,0,1,1,0,0,0
Campaña,MC,Las Palmas,32,1.42,17,617.136,615.968,2.67,12,413,0,1,2,4,9,4,1,42,45,0,7,0,0,1,3,0,0,0,0
López,MC,Leganés,32,0.92,12,1.109.141,1.069.399,2.46,13,355,0,1,1,7,5,2,0,23,56,0,7,0,0,0,0,0,0,0,0
Ferran Torres,DL,FC Barcelona,32,1.38,11,3.140.569,2.993.613,4.00,8,329,1,2,1,2,0,7,5,7,36,0,8,1,0,0,0,0,0,0,0
Lucas Vázquez,DF,Real Madrid,32,1.17,14,16.239.054,15.399.280,2.67,12,443,1,1,2,4,2,5,1,20,59,0,9,0,0,0,1,0,0,0,0
Jaureguizar,MC,Athletic Club,32,1.20,12,870.684,849.638,3.20,10,610,1,0,0,2,6,5,1,42,90,0,6,1,0,0,3,0,0,0,0
Costa,DF,Villarreal CF,32,1.50,12,3.989.176,3.918.960,4.00,8,704,1,0,0,0,28,0,2,29,58,0,12,0,0,1,1,0,0,0,0
Michel,DT,Girona,31,0,0,929.462,903.808,2.38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Sotelo,MC,Celta de Vigo,31,0.92,12,650.333,646.563,2.38,13,560,0,0,1,6,3,3,0,37,69,0,8,0,0,0,3,0,0,0,0
Imanol Alguacil,DT,Real Sociedad,31,0,0,771.779,758.487,2.38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrenetxea,MC,Real Sociedad,31,1.40,14,2.168.712,2.092.244,3.10,10,436,0,1,1,4,8,7,2,32,90,0,5,0,0,1,1,0,0,0,0
Jagoba Arrasate,DT,Mallorca,31,0,0,626.847,624.917,2.38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juric,MC,Valladolid,31,0.62,8,810.236,793.929,2.38,13,641,0,0,1,0,21,4,0,40,51,0,15,0,0,0,4,0,0,0,0
Danjuma,MC,Girona,37,1.27,14,7.295.093,6.899.730,3.36,11,716,2,0,1,7,0,8,7,17,90,0,13,0,0,1,2,0,0,0,0
Marcos Alonso,DF,Celta de Vigo,37,1.78,16,4.066.459,3.982.748,4.11,9,730,0,0,1,1,38,3,1,46,88,0,11,0,0,0,1,0,0,0,0
Paredes,DF,Athletic Club,36,1.10,11,4.836.499,4.867.025,3.60,10,665,1,0,0,0,46,0,2,25,52,0,8,0,0,1,2,1,0,0,0
Prados,MC,Athletic Club,36,1.00,12,2.294.864,2.202.948,3.00,12,586,1,0,0,1,10,2,3,42,68,0,7,0,0,0,4,0,0,0,0
Tenaglia,DF,Alavés,36,1.25,15,4.223.460,4.025.029,3.00,12,945,1,1,0,4,25,6,2,37,149,0,18,0,0,0,3,0,0,0,0
Viti,MC,Las Palmas,36,1.15,15,760.802,762.739,2.77,13,685,0,1,1,4,18,1,0,38,80,0,12,0,0,0,3,0,0,0,0
Miguel,DL,Leganés,36,0.85,11,819.258,833.300,2.77,13,783,1,1,1,2,8,6,6,13,114,0,8,0,0,0,2,0,0,0,0
Vicente Moreno,DT,Osasuna,36,0,0,568.534,571.177,2.77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathé Ciss,MC,Rayo Vallecano,36,1.17,14,1.290.948,1.236.953,3.00,12,339,0,1,2,0,18,4,0,32,41,0,7,0,0,0,2,0,0,0,0
Romero,DF,Espanyol,36,1.25,15,3.377.084,3.234.790,3.00,12,864,1,1,1,11,19,6,2,48,134,0,17,0,0,1,3,0,0,0,0
Albiol,DF,Villarreal CF,36,1.08,13,2.423.996,2.407.183,3.00,12,739,0,0,0,0,51,0,0,25,54,0,10,0,0,1,3,0,0,0,1
Reinildo,DF,Atlético de Madrid,36,1.00,13,3.200.294,3.154.520,2.77,13,599,0,0,0,0,21,2,1,41,78,0,6,0,0,0,3,0,0,0,0
Marcelino,DT,Villarreal CF,36,0,0,750.256,738.651,3.27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry,DL,Villarreal CF,36,1.00,9,6.839.013,6.614.867,4.00,9,654,2,2,1,0,3,1,6,11,71,0,10,0,0,0,1,0,0,0,0
Romain Perraud,DF,Real Betis,35,1.00,13,2.609.480,2.561.563,2.69,13,835,0,0,1,3,24,7,2,55,138,0,9,0,0,0,4,0,0,0,0
Manuel Pellegrini,DT,Real Betis,35,0,0,733.656,723.353,2.69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raba,DL,Leganés,35,1.18,13,769.182,756.094,3.18,11,276,0,2,2,3,2,5,3,21,49,1,2,0,0,0,0,0,0,0,0
Javi López,DF,Real Sociedad,35,1.36,15,2.589.067,2.500.325,3.18,11,640,0,0,1,2,17,3,0,35,85,0,7,0,0,0,0,0,0,0,0
Witsel,DF,Atlético de Madrid,35,0.92,12,5.641.916,5.433.998,2.69,13,528,0,1,1,0,23,1,0,28,41,0,6,0,0,0,0,0,0,0,0
Stoichkov,MC,Alavés,34,0.85,11,2.042.114,1.944.579,2.62,13,568,0,1,2,2,6,4,3,32,91,0,12,0,0,0,1,0,0,0,0
Javi Muñoz,MC,Las Palmas,34,1.38,18,1.216.188,1.170.125,2.62,13,793,0,1,1,4,11,8,3,44,101,0,17,0,0,0,1,0,0,0,0
Turrientes,MC,Real Sociedad,34,1.00,10,1.786.391,1.693.553,3.40,10,460,0,0,0,6,5,5,1,21,42,0,2,0,0,0,2,0,0,0,0
Brahim,MC,Real Madrid,34,1.86,13,7.264.674,7.896.224,4.86,7,201,1,2,1,0,0,7,1,12,40,0,3,0,0,0,0,0,0,0,0
I Sánchez,MC,Valladolid,34,1.08,14,905.008,881.271,2.62,13,428,1,1,2,4,2,9,3,22,69,0,11,0,0,0,2,0,0,0,0
Hugo Alvarez,MC,Celta de Vigo,34,1.60,16,2.124.962,2.033.687,3.40,10,696,1,0,1,3,9,17,4,38,135,0,13,0,0,0,2,0,0,0,0
Bertug,DL,Espanyol,34,0.90,9,910.544,888.439,3.40,10,674,1,0,1,1,11,4,5,14,81,0,6,0,0,0,4,0,1,0,0
Bellerín,DF,Real Betis,33,1.27,14,2.387.821,2.275.405,3.00,11,523,0,1,2,3,13,6,1,17,66,0,5,0,0,0,1,0,0,0,0
Abel Ruiz,DL,Girona,33,0.80,8,4.521.427,4.296.973,3.30,10,663,2,0,0,0,4,4,6,13,50,0,10,0,0,0,2,0,0,0,0
Agoumé,MC,Equipo desconocido,33,1.00,13,1.423.544,1.359.153,2.54,13,689,0,0,0,0,9,10,0,49,102,0,13,1,0,1,1,0,0,0,0
Álex Suárez,DF,Las Palmas,33,0.92,11,1.252.068,1.267.242,2.75,12,896,0,0,0,0,43,0,1,33,77,0,15,0,0,1,3,0,0,0,1
Juan Soriano,PO,Leganés,33,1.08,14,3.738.880,3.552.736,2.54,13,540,0,0,0,0,5,0,0,56,84,0,7,0,19,0,1,0,0,0,1
Raúl,DL,Osasuna,33,0.85,11,773.261,759.853,2.54,13,295,1,0,1,0,2,6,3,3,42,0,6,0,0,0,0,0,0,0,0
Almeida,MC,Valencia CF,33,1.50,15,1.962.847,1.870.651,3.30,10,454,0,0,1,7,2,3,1,25,58,0,9,0,0,0,0,0,0,0,0
Albert Sambi Lokonga,MC,Equipo desconocido,33,1.63,13,1.709.209,1.719.025,4.13,8,476,0,1,1,0,11,2,1,33,40,0,7,0,0,0,1,0,0,0,0
Leo Román,PO,Mallorca,33,1.00,12,1.462.371,1.401.113,2.75,12,360,0,0,0,0,1,1,0,27,54,0,2,0,14,0,0,0,0,0,0
Ernesto Valverde,DT,Athletic Club,33,0,0,786.089,771.675,2.75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeray,DF,Athletic Club,32,1.50,12,3.688.934,3.583.837,4.00,8,540,0,0,0,1,20,2,1,34,64,0,5,0,0,0,2,0,0,0,0
Juanlu,MC,Equipo desconocido,32,1.00,12,1.386.665,1.328.021,2.67,12,466,1,1,0,1,6,0,1,23,41,0,6,0,0,0,1,1,0,0,0
Campaña,MC,Las Palmas,32,1.42,17,617.136,615.968,2.67,12,413,0,1,2,4,9,4,1,42,45,0,7,0,0,1,3,0,0,0,0
López,MC,Leganés,32,0.92,12,1.109.141,1.069.399,2.46,13,355,0,1,1,7,5,2,0,23,56,0,7,0,0,0,0,0,0,0,0
Ferran Torres,DL,FC Barcelona,32,1.38,11,3.140.569,2.993.613,4.00,8,329,1,2,1,2,0,7,5,7,36,0,8,1,0,0,0,0,0,0,0
Lucas Vázquez,DF,Real Madrid,32,1.17,14,16.239.054,15.399.280,2.67,12,443,1,1,2,4,2,5,1,20,59,0,9,0,0,0,1,0,0,0,0
Jaureguizar,MC,Athletic Club,32,1.20,12,870.684,849.638,3.20,10,610,1,0,0,2,6,5,1,42,90,0,6,1,0,0,3,0,0,0,0
Costa,DF,Villarreal CF,32,1.50,12,3.989.176,3.918.960,4.00,8,704,1,0,0,0,28,0,2,29,58,0,12,0,0,1,1,0,0,0,0
